food,relationship,disease,evidence
ginger root,treats,carcinogenic,"Zingerone, a major component found in ginger root, has been known as anti-mutagenic and anti-carcinogenic activities that are often associated with its anti-oxidative and anti-inflammatory activities."
butter flavoring additive diacetyl ( da ),causes,bronchiolitis obliterans,"The butter flavoring additive diacetyl (DA), can cause bronchiolitis obliterans (BO) by inhalation."
wheat,causes,baker's rhinitis,Baker's rhinitis is a kind of occupational allergic rhinitis mainly caused by intranasal exposure to wheat and/or rye flour in bakery workers.
blueberries,treats,obesity-linked metabolic diseases,"Blueberry consumption can prevent obesity-linked metabolic diseases, and it has been proposed that the polyphenol content of blueberries may contribute to these effects."
cereals,causes,hypersensitivity,Hypersensitivity to cereals may occur via inhalation or ingestion.
gambogic acid,treats,osteoporosis,"The nutraceuticals identified from dietary agents such as butein, cardamonin, coronarin D curcumin, diosgenin, embelin, gambogic acid, genistein, plumbagin, quercetin, reseveratrol, zerumbone and more, can modulate cell signaling pathways and reverse/slow down osteoporosis."
grape seed procyanidin b2 ( gspb2 ),treats,hepatic damage of diabetes,Our previous studies have verified that grape seed procyanidin B2 (GSPB2) played a protective effect on hepatic damage of diabetes.
fruit consumption,treats,cardiovascular disease,"In Western populations, a higher level of fruit consumption has been associated with a lower risk of cardiovascular disease, but little is known about such associations in China, where the consumption level is low and rates of stroke are high."
breast milk,treats,infections,Breast milk is not only a completely adapted nutrition source for the newborn but also an impressive array of immune-active molecules that afford protection against infections and shape mucosal immune responses.
diets rich in (poly)phenols,treats,cardiovascular disorders,Diets rich in (poly)phenols are associated with a reduced reduction in the incidence of cardiovascular disorders.
eucalyptus oil,treats,bronchitis,"Eucalyptol (1,8-cineole), the major constituent of eucalyptus oil (EO), was used in traditional medicine as a remedy for colds and bronchitis."
curcuma longa,treats,wound,"Curcumin is a naturally occurring polyphenol found in Curcuma longa with multiple therapeutic properties, such as anti-inflammatory, wound healing and anti-cancer effects."
fruit of alpinia oxyphylla,treats,dementia,The fruit of Alpinia oxyphylla is often used in traditional Chinese medicine to treat dementia and memory defects.
mushrooms,treats,alzheimer's disease,Mushrooms have been reported in folklore for the management of Alzheimer's disease (AD) and diabetes with limited scientific prove.
dietary sugar,causes,dental caries,"Dietary sugar, especially in liquid form, increases risk of dental caries, adiposity, and type 2 diabetes."
olive oil consumption,treats,osteoporosis,Rates of osteoporosis are significantly lower in regions of the world where olive oil consumption is a dietary cornerstone.
extra-virgin olive oil,treats,alzheimer's disease,Previous evidence suggested that extra-virgin olive oil (EVOO) is linked to attenuating amyloid-ÃÂÃÂÃÂÃÂ² (AÃÂÃÂÃÂÃÂ²) pathology and improving cognitive function in Alzheimer's disease (AD) mouse models.
beer consumed,treats,kidney stones,"Beer consumption was inversely associated with risk of kidney stones; each bottle of beer consumed per day was estimated to reduce risk by 40% (RR = 0.60, 95% CI 0.47-0.76)."
aerosolized crab allergens,causes,asthma,Aerosolized crab allergens are suspected etiologic agents for asthma among crab-processing workers.
maize,treats,neural tube defects,Wheat and maize (corn) flour are staple crops consumed widely throughout the world and have been fortified with folic acid in over 80 countries to prevent neural tube defects.
flour,causes,occupational diseases,Bakers are exposed daily to flour and may be susceptible to immunologic occupational diseases.
folic acid,treats,neural tube birth defect,Periconceptional intake of folic acid is known to reduce a woman's risk of having an infant affected by a neural tube birth defect (NTD).
rice fortification,treats,micronutrient deficiencies,Rice fortification with vitamins and minerals has the potential to increase the nutrition in rice-consuming countries where micronutrient deficiencies exist.
chemotherapy drugs,causes,hypersensitivity,"New symptoms of hypersensitivity caused by chemotherapy drugs, monoclonal antibodies, and biological agents have been suggested to be recognized as anaphylaxis phenotypes."
tea,treats,type 2 diabetes,"Tea is cultivated around the world, and its polysaccharide components are reported to be an effective approach for managing type 2 diabetes with fewer adverse effects than medication."
milk,treats,chronic diseases,"Milk and milk product intake is associated with better diet quality and has been associated with a reduced risk of chronic diseases or conditions including hypertension, cardiovascular disease, metabolic syndrome, Type 2 Diabetes and osteoporosis."
cherries,treats,gout,"Cherries, which are rich in anti-inflammatory and antioxidative bioactive compounds, are proposed to be efficacious in preventing and treating gout, but recommendations to patients are conflicting."
oolong tea,treats,cancer,"Evidence regarding the health benefits of oolong tea consumption is accumulating, and tea polyphenols have various pharmacological properties such as anti-cancer and anti-diabetes effects."
plant-based foods and beverages,treats,vascular damage,"Flavonoids, compounds found in plant-based foods and beverages, might ameliorate vascular damage and atherosclerosis."
indian yellow curry,treats,cancer,"Curcumin, a compound found in Indian yellow curry, is known to possess various biological activities, including anti-oxidant, anti-inflammatory, and anti-cancer activities."
food additives,causes,senile dementia of alzheimer 's type,"Aluminum is a constituent of antacids, deodorants, kitchenware and food additives which allows easy access into the body posing risk to development of senile dementia of Alzheimer's type."
folic acid,treats,stroke,"The CSPPT (China Stroke Primary Prevention Trial) demonstrated a significant risk reduction of first stroke in hypertensive patients treated with enalapril plus folic acid compared with those with enalapril alone, but the lifetime stroke-free survival associated with the treatment is unknown."
extra-virgin olive oil,treats,multiple diseases,"Epidemiological and clinical studies compellingly showed the ability of Mediterranean diet rich in extra-virgin olive oil (EVOO) to reduce multiple diseases such as cancer, cardiovascular diseases, and aging cognitive functions decline."
extra virgin olive oil,treats,human diseases,"Among the phenolic compounds extracted from extra virgin olive oil, oleocanthal (1) has attracted considerable attention in the modulation of many human diseases, such as inflammation and Alzheimer's disease (AD)."
flour,causes,asthma,Asthma could be induced by inhaled flour or by exposure to allergens present in bakery products.
processed foods,causes,autoimmune diseases,"Among these, dietary habits, and especially an excessive salt, typical of processed foods, has been implicated in the development of autoimmune diseases."
whey protein (wp),treats,hypertension,"Besides their nutritional value, whey protein (WP) peptides are food components retaining important pharmacological properties for controlling hypertension."
wheat,causes,coeliac disease,"Wheat is one of the major crops grown, processed and consumed by humankind and is associated with both intolerances (notably coeliac disease) and allergies."
salt,causes,calcium oxalate urolithiasis,Dietary excesses in animal protein and/or salt have been implicated as risk factors in calcium oxalate urolithiasis.
various foods,treats,neurodegenerative diseases,"Many reports have indicated that luteolin, a flavone found in various foods, has preventive and therapeutic value for neurodegenerative diseases including AD."
beer,treats,ad,"High levels of consumption (>92 times/month) of fermented foods such as doenjang, chungkookjang, kimchi, fermented seafood, makgeolli, and beer were associated with a lower prevalence of AD (OR, 0.56; 95% confidence interval [CI], 0.37-0.84)."
black mulberry fruits,treats,cardiovascular diseases,Black mulberry fruits are traditionally used in Uyghur folk medicine for the prevention and treatment of cardiovascular diseases in southern Xinjiang region of China.
cinnamon,treats,obesity,"Other structurally homologous nutraceuticals, derived from red chili, cinnamon, cloves, black pepper, and ginger, also exhibit effects against obesity and insulin resistance."
star anise,treats,skin inflammation,"f. (star anise) has been used in traditional medicine for treatment of skin inflammation, rheumatism, asthma, and bronchitis."
zingiber officinale,treats,hyperglycemia,"[6]-Gingerol, a major component of Zingiber officinale, was previously reported to ameliorate hyperglycemia in type 2 diabetic mice."
wheat,causes,baker's asthma,"Wheat is a potent allergen source and is one of the causes of baker's asthma, food and pollen allergy."
ginger,treats,"diabetic liver, kidney, eye, and neural system complications","Ginger has shown prominent protective effects on diabetic liver, kidney, eye, and neural system complications."
beer,treats,alzheimer's disease,"We have previously demonstrated that the consumption of iso-ÃÂÃÂÃÂÃÂ±-acids (IAA), which are hop-derived bitter compounds in beer, prevents the formation of disease pathology in a transgenic mouse model of Alzheimer's disease (AD)."
high fructose corn syrup sweetened soft drink,causes,asthma,High fructose corn syrup (HFCS) sweetened soft drink intake has been linked with asthma in US high-schoolers.
onion,causes,dermatitis,"Onion (Allium cepa) handling can induce contact dermatitis, rhinoconjunctivitis and asthma."
extra-virgin olive oil,treats,vascular disease,"The authors base their hypothesis on meta-analyses of epidemiological data, numerous experimental studies, and a comprehensive review of the mechanisms of action of extra-virgin olive oil and its components in the prevention of vascular disease."
mediterranean diet,treats,cardiovascular diseases,The Mediterranean diet has been associated with lower mortality and lower risk of cardiovascular diseases and cancer.
food additives,causes,foodallergies,"The article presents data on causally significant food allergens and food additives that cause the development of food allergies, as well as information on the main food proteins and their components involved in the formation of cross-reactivity."
honeybush tea,treats,hyperglycemia,These results imply that the sequential extracts of honeybush tea (particularly the aqueous and ethyl acetate extracts) may not only exhibit antioxidant potentials but also mediate anti-hyperglycemia activities by inhibiting lipid and carbohydrate digestion.
very-low-cho diets,causes,weight loss,"Historically, low-carbohydrate (CHO) and very-low-CHO diets have been used for weight loss."
fava beans,causes,haemotoxicity,"Fava beans (FBs) have long been used as food, and their principal disadvantage is derived from their haemotoxicity."
raspberries,treats,pain,"In this context, commonly available fruits, such as blueberries, raspberries and strawberries, and pomegranates have shown promising results in reducing pain and inflammation in experimental models and in human clinical studies of arthritis."
eicosapentaenoic acid,treats,metabolic disorders,"Dietary n-3 fatty acids, especially of marine origin, eicosapentaenoic acid (20:5n-3) and docosahexaenoic acid (22:6n-3), have always been lauded for their profound effects on regulating the risk factors for major metabolic disorders."
mustard,causes,allergies,"Peanuts and nuts cause a great part of allergies in the United States; in Spain and Portugal are commonly due to fish, milk; in Italy seafood and mustard in France."
peanut,causes,anaphylaxis,Peanut allergy affects 3% of Australian children and has a higher risk of anaphylaxis than most food allergies.
extra virgin olive oil,treats,myocardial infarction,"In this context, extra virgin olive oil (EVOO), the most representative component of this diet, seems to be relevant in lowering the incidence of cardiovascular events, including myocardial infarction and stroke."
beer,treats,inflammation,"We previously demonstrated that the consumption of iso-ÃÂÃÂÃÂÃÂ±-acids (IAA), the hop-derived bitter compounds in beer, prevents inflammation and Alzheimer's disease pathology in model mice."
allium,treats,cancers,Many epidemiological studies support the protective role of garlic and related allium foods against the development of certain human cancers.
ginger,treats,alzheimer's disease,Ginger has been reportedly used for the management or treatment of Alzheimer's disease in folklore medicine.
extra-virgin olive oil,treats,inflammatory diseases,Current experimental studies support a beneficial role of extra-virgin olive oil (EVOO) in several inflammatory diseases.
pistachio,causes,allergic reactions,"Pistachio and cashew nut, which belong to the same botanical family, are tree nuts that induce serious allergic reactions."
beer,treats,chronic diseases,"In beer, the variety and concentration of bioactive compounds in the non-alcoholic fraction suggests that its consumption at moderate levels may not only be harmless but could also positively contribute to an improvement of certain physiological states and be also useful in the prevention of different chronic diseases."
cabbage,causes,migraine attacks,"Migraine attacks have been produced most frequently by cow milk (in 10 out of 17 patients), cabbage, flour and eggs in 5 patients, preservatives, cottage and Swiss cheese, porcine meat in 4 patients, colorants and chocolate in 3 patients, beef, strawberries, lemons and butter in 2 patients."
pistachio,causes,allergic,"Pistachio and cashew contain allergenic proteins, which causes them to be removed from the diet of allergic people."
glycemic load (gl) diet,causes,cardiovascular mortality,Recent epidemiologic studies have found that a high glycemic index (GI) and glycemic load (GL) diet are associated with a higher risk for metabolic complications and cardiovascular mortality.
lemon,treats,alzheimer's disease,"Therefore, this study presents the neuroprotective potentials of lemon and tangerine peels-derived EOs, and the possibility of their exploration as neuroactive agents and alternative in the management of Alzheimer's disease (AD)."
maslinic acid,treats,hyperglycaemia,"Bredemolic acid (BA), an isomer of maslinic acid, has been reported to ameliorate the intermediate hyperglycaemia found in prediabetes; however, the effects of this triterpene on cardiovascular function have not yet been determined."
yogurt,treats,cardiovascular disease,"The consumption of dairy, including milk, cheese and yogurt, has been associated with better quality of diet and reduced risk of cardiovascular disease, the leading cause of death globally."
"salt (sodium chloride, nacl)",causes,moisture loss,"Salt (sodium chloride, NaCl) is commonly used in ready-to-eat (RTE) meat products such as biltong, a South African style dried beef product for flavor, enhanced moisture loss, and reduction of microbial growth."
fruits,treats,neurodegenerative diseases,"Epidemiological studies have shown that consumption of diets rich in antioxidant and anti-inflammatory agents, such as those found in fruits and vegetables, may lower the risk of developing age-related neurodegenerative diseases such as Parkinson's disease and Alzheimer's disease."
cinnamomum,treats,dyspepsia,"Cinnamomum cassia (C. cassia, Lauraceae family), commonly used for treating dyspepsia, gastritis, blood circulation, and inflammatory diseases is considered as one of the 50 fundamental herbs in traditional Chinese medicine."
milk thistle extracts,treats,liver cirrhosis,"Milk thistle extracts have been used as medicinal herbs in the treatment of liver cirrhosis, chronic hepatitis (liver inflammation), and gallbladder disorders."
garlic,causes,hemolytic anemia,"We recently identified sodium n-propyl thiosulfate (NPTS) and sodium 2-propenyl thiosulfate (2PTS) from boiled onion and garlic, respectively, as causative agents of hemolytic anemia in dogs."
olive oil,treats,stroke,"A Cretan Mediterranean diet, high in olive oil, whole grains, fruits, vegetables and legumes, and low in cholesterol and saturated fat, can reduce stroke by 40% or more in high-risk patients."
sugar,causes,osteoporosis,"However, the other ubiquitous white crystal, sugar, may lead to osteoporosis by increasing inflammation, hyperinsulinemia, increased renal acid load, reduced calcium intake, and increased urinary calcium excretion."
ginger,treats,human ailments,"Besides its food-additive functions, ginger has a long history of medicinal use for the treatment of a variety of human ailments including common colds, fever, rheumatic disorders, gastrointestinal complications, motion sickness, diabetes, cancer, etc."
calorie-dense diet,causes,obesity,Calorie-dense diet is a main driver of the global epidemics of obesity and type 2 diabetes (T2DM).
citrus fruits,treats,metabolic syndrome,Citrus fruits are known for their beneficial health effects associated with the prevention of metabolic syndrome/type 2 diabetes that is mainly attributed to flavonoids.
psidium guajava,treats,cancer,"Psidium Guajava is a promising functional food against cancer, owing to a variety of bioactive compounds."
tea,treats,coronary disease,"Flavonoid antioxidants with 2- or 3-phenylchroman structures such as quercetin, kaempferol, myricetin, apigenin, and luteolin, constituents of fruits, vegetables, tea, and wine, which may reduce coronary disease and cancer, are described."
food rich in saturated fat,causes,chd,"The basis of this recommendation is the 'diet-heart hypothesis', which postulates that consumption of food rich in saturated fat increases serum cholesterol levels, which increases risk of CHD."
beer,treats,cognitive impairment,"Previously, we demonstrated that iso-ÃÂÃÂÃÂÃÂ±-acids, the hop-derived bitter components in beer, prevent cognitive impairment in an Alzheimer's disease mouse model."
drugs,causes,cutis laxa,"In most cases, acquired cutis laxa is associated with neoplasms, drugs, and autoimmune diseases."
antiepileptic drugs,causes,epilepsy,Adults aged 50 years and older with epilepsy face an increased risk of fracture associated both with age and with the use of antiepileptic drugs.
docosahexaenoic acid,treats,tumour,Docosahexaenoic acid (DHA) has been shown to reduce tumour growth in preclinical models when combined with chemotherapy and is known to beneficially modulate systemic immune function.
gastrointestinal ( gi ) protective drugs,treats,ra,Patients with RA commonly use gastrointestinal (GI) protective drugs for treatment and prevention of drug-associated GI injuries.
meat protein,causes,heart disease,Meat protein is associated with an increase in risk of heart disease.
protein-containing dust,causes,respiratory diseases,Influence of protein-containing dust on the workers results in respiratory diseases.
sucrose,causes,hyperuricaemia,"In addition to sucrose and high fructose corn syrup, fresh fruits also contain fructose, suggesting that patients with hyperuricaemia or gout might also avoid fresh fruit."
olive oil,treats,ckd,"Plant nutrients and plant-based diets could have beneficial effects in patients with CKD: increased fibre intake shifts the gut microbiota towards reduced production of uraemic toxins; plant fats, particularly olive oil, have anti-atherogenic effects; plant anions might mitigate metabolic acidosis and slow CKD progression; and as plant phosphorus has a lower bioavailability than animal phosphorus, plant-based diets might enable better control of hyperphosphataemia."
red yeast rice,treats,coronary heart disease,"Xuezhikang (XZK), an extract derived from red yeast rice, is commonly employed as a traditional Chinese medicine for treating coronary heart disease, improving endothelial function, decreasing blood lipids and preventing other cardiovascular events both within China and globally."
garlic,treats,carcinogenesis,"The health benefits of garlic, including inhibition of carcinogenesis, are supported by several epidemiologic and laboratory findings."
additives to food and water,treats,cancer,"Environmental pollutants, such as pesticides, herbicides, additives to food and water, and electromagnetic fields threaten public health by promotion of cancer, heart disease and chronic diseases of aging."
diets with high fat and carbohydrate content,causes,obesity,"Among other factors, diets with high fat and carbohydrate content have been implicated in obesity."
garlic,treats,"stomach, colorectal, breast cancer","Evidence supports the protective effects of garlic in stomach, colorectal, breast cancer in humans."
milk,causes,ovarian carcinoma,The intake of milk and milk products could increase the risk of ovarian carcinoma.
poor diet,causes,obesity,"Poor diet is responsible for more deaths worldwide than any other risk factor, and is a leading cause of obesity, type 2 diabetes, and cardiovascular disease (CVD)."
cow's milk protein,causes,allergy,"Cow's milk protein allergy, which occurs in approximately 5-10% of the population of infants and children, has become an important public food safety problem."
traditional italian diet,treats,myocardial infarction,"Between 1935 and 1965, the Italian-American inhabitants of Roseto (Pennsylvania, USA) observed a traditional Italian diet and maintained half the mortality rates from myocardial infarction compared with neighboring cities."
coffee,treats,hypertension,"Respondents with overweight (AOR 1.44, 95%CI: 1.02-2.02), khat chewing (AOR3.31, 95%CI: 1.94-5.64), low fruit and/or vegetable consumption (AOR 1.27, 95%CI: 1.05-1.53) and those who do not use coffee and tea (AOR 1.52, 95%CI: 1.03-2.24) had significantly higher likelihood of hypertension."
brassica rapa,treats,hypoxia,"The Tibetan turnip (Brassica rapa L.) has a wide array of medicine properties including heat-clearing, detoxifying and anti-hypoxia as listed in the famous centuries-old Tibetan medicine classic ""The Four Medical Tantras""."
beans,treats,chronic diseases,Beans can contribute to a food-first approach to healthy aging as they are nutrient-dense and can reduce the risk of chronic diseases.
olive oil (,treats,ad,A growing body of evidence including our studies supports a protective effect of oleocanthal (OC) and extra-virgin olive oil (EVOO) at early AD stages before the onset of pathology.
red wine,treats,diabetes,"Tea, red wine and cocoa are good sources of flavanols and these highly consumed foods might contribute to prevent diabetes."
docosahexaenoic acid,treats,"cardiovascular, neurodegenerative","Omega-3 fatty acids (ÃÂÃÂÃÂÃÂ-3FAs) such as Docosahexaenoic acid (DHA) and Eicosapentanoic acid (EPA), are active ingredient of fish oil, which have larger health benefits against various diseases including cardiovascular, neurodegenerative, cancers and bone diseases."
ginger,treats,obesity,Ginger exerts protective effects on obesity and its complications.
almond,treats,heart disease,"Almond kernels contain phytochemicals with positive health effects in relation to heart disease, diabetes and obesity."
guava tea,treats,diabetic,"Polyphenols from coffee, guava tea, whortleberry, olive oil, propolis, chocolate, red wine, grape seed, and cocoa have been reported to show anti-diabetic effects in T2D patients through increasing glucose metabolism, improving vascular function as well as reducing insulin resistance and HbA1c level."
cocoa,treats,cvd,"The consumption of natural polyphenol-rich foods, and cocoa in particular, has been related to a reduced risk of CVD, including coronary heart disease and stroke."
beer,treats,brain disorders,"Beer, as part of this protective diet, contains compounds such as silicon and hops that could play a major role in preventing brain disorders."
steroids,causes,gastrointestinal perforation,"The causes of gastrointestinal perforation with collagen diseases have been reported to be functional gastrointestinal disorders with collagen diseases like amyloidosis, gastrointestinal infections in immunocompromised patients, and side effects of medication, such as steroids or NSAIDs and MTX."
iron rich foods,treats,anaemia,"Improving overall household living conditions, increasing maternal education, delaying childbearing and introducing iron rich foods at six months of age may reduce the likelihood of anaemia in toddlerhood."
chicken protein hydrolysates ( cphs ),treats,inflammation,Chicken protein hydrolysates (CPHs) generated from rest raw materials through enzymatic hydrolysis using Corolase PP or Alcalase were shown to reduce inflammation and stimulate hepatic mitochondrial fatty acid oxidation in high-fat-fed mice.
mediterranean diet,treats,inflammation,A Mediterranean diet (MeDi) style has been reported as associated with a lower degree of inflammation biomarkers and with a protective role on cardiovascular and cerebrovascular events.
ginger,treats,alzheimer disease,"Components of ginger (Zingiber officinale) extracts have been described as potential new drug candidates against Alzheimer disease (AD), able to interact with several molecular targets related to the AD treatment."
peanut,causes,allergy,"Peanut allergy that affects 1.4-4.5% of North American children, has increased in prevalence in the past 20 years, is often diagnosed early in life, and outgrown in fewer than 20-32% of children by age 6."
selective nutrition,treats,malnutrition,Selective nutrition therapy for ASD and brain function shows improvement in behavioral changes and reduction in malnutrition seemingly associated with the allergies or food intolerances to gluten.
flour,causes,diabetes,"Alloxan (ALX), a food-additive, intaken daily through flour causes diabetes and genotoxicity by inducing chromosomal-aberration and DNA-damage."
garlic intake,treats,cancer,Numerous animal and in vitro studies provided evidence for a relation between garlic intake and cancer risk reduction.
cabbage,treats,allergic,"Quercetin is the major polyphenolic flavonoid found in food products, including berries, apples, cauliflower, tea, cabbage, nuts, and onions that have traditionally been treated as anticancer and antiviral, and used for the treatment of allergic, metabolic, and inflammatory disorders, eye and cardiovascular diseases, and arthritis."
wheat flour,causes,occupational respiratory allergies,Exposure to wheat flour and guar gum is a well-known cause of occupational respiratory allergies among workers in the food processing industry.
wine,treats,cognitive decline,Some studies have shown a potential role for grapes or wine in slowing cognitive decline and other effects of aging.
fruits,causes,allergy,Severe allergy to fruits mediated by a 7 kDa allergen belonging to the gibberellin-regulated protein (GRP) family is known to be associated with Cupressaceae pollinosis.
myrciaria cauliflora (jaboticaba),treats,respiratory diseases,"Myrciaria cauliflora (jaboticaba) is an edible fruit common in Brazil that has been used for treating respiratory diseases, including chronic tonsillitis and asthma."
honey-bee pollen mix (hbm),treats,asthma,"Honey-bee pollen mix (HBM) formulation is claimed to be effective for the treatment of asthma, bronchitis, cancers, peptic ulcers, colitis, various types of infections including hepatitis B, and rheumatism by the herb dealers in northeast Turkey."
high-salt ( hs ) diets,causes,hypertension,High-salt (HS) diets are associated with hypertension and cardiac remodelling.
extra-virgin olive oil,treats,cardiovascular and neurodegenerative diseases,"The phenolic compounds of extra-virgin olive oil can act at various levels to protect individuals against cardiovascular and neurodegenerative diseases, cancer, and osteoporosis, among others."
garlic,treats,colon cancer,"The results indicate that grape, soybean, green tea, garlic, olive, and pomegranate are the most effective plants against colon cancer."
morus alba,treats,stroke,Mulberry (Morus alba L.) leaves are widely used as herbal tea to prevent heat stroke.
virgin olive oil,treats,osteoporotic fractures,"Virgin olive oil, a key component of the Mediterranean Diet (MDiet), with recognised beneficial effects on metabolism and cardiovascular health, may decrease the risk of osteoporotic fractures."
gluten-free diet,treats,gastrointestinal symptoms,"New evidence shows that a gluten-free diet may be beneficial for some patients with gastrointestinal symptoms, such as those symptoms commonly found in patients with IBS."
regular-fish oil,treats,bone loss,"The preventive effect of high-dose (9%) regular-fish oil (FO) against bone loss during aging has been demonstrated, but the effects of a low-dose (1%-4%) of a highly purified concentrated FO (CFO) has not been elucidated."
anti-inflammatory drugs,treats,ad,"Thus, anti-inflammatory drugs in this asymptomatic initial phase could slow down AD progression, provided they enter the brain."
quercus liaotungensis koidz,treats,diarrhea,"Acorn obtained from the Quercus liaotungensis Koidz tree is consumed as a Chinese folk medicine for the treatment of diarrhea, abdominal pain, and inflammation, also having strong antioxidant activity and have been utilized for the treatment of diabetes in China."
wheat flour,causes,rhinitis,Sensitization to inhaled wheat flour may lead to occupational rhinitis and/or asthma.
allium hirtifolium boiss,treats,dementia,Allium hirtifolium Boiss and Astragalus hamosus L. are mentioned in Iranian traditional medicine documentation as therapy for a kind of dementia with the features and symptoms similar to those of Alzheimer's disease (AD).
olive oil,treats,cognitive impairment,"The Mediterranean diet (rich in fruits, vegetables, legumes, and olive oil, with regular fish consumption and low consumption of dairy products and meats) has been shown to reduce the incidence of mild cognitive impairment (MCI) and, probably, the conversion of MCI to dementia."
fruit,treats,cardiovascular diseases,Fruit and vegetable intake has been reported as one of the significant protective factors against the development of cardiovascular diseases (CVD).
caffeic acid,treats,alzheimer's disease,"Caffeic acid (CA) has shown neuroprotection in Alzheimer's disease or cerebral ischaemia; however, it is unclear whether CA confers neuroprotection in ÃÂÃÂÃÂÃÂ±-synuclein-induced PD models."
cicer arietinum,causes,allergy,Chickpea (Cicer arietinum) allergy has frequently been reported particularly in Spain and India.
black rice,causes,hypoglycemic,Cyanidin-3-glucoside (C3G) from black rice was reported to have hypoglycemic effects and an anti-osteoporosis effect in diabetic rats.
nuts,treats,chronic diseases,Nuts have an appreciable antioxidant load and there is evidence of their positive effects on several chronic diseases incidence and death rates.
flour,causes,allergic reactions,Allergic reactions to wheat may be caused by ingestion of wheat containing foods or inhalation of flour (Bakers asthma).
ultra-processed foods,causes,cardiovascular disease,A high percentage of total calories from ultra-processed foods has been associated with several cardiovascular disease risk factors.
opioid drugs,treats,pain,"Opioid drugs are widely used to treat chronic pain, but their misuse can lead to tolerance, dependence, and addiction and have created a significant public health problem."
unbalanced diet,causes,neurodegenerative diseases,"In the last decade, several theories investigating the causes of neurodegenerative diseases have been formulated and a condition or risk factor that can contribute is described by the gut-brain axis hypothesis: stress, unbalanced diet, and drugs impact altering microbiota composition which contributes to dysbiosis."
tropical fruits,treats,metabolic syndrome,"Tropical foods such as seaweeds and tropical fruits including indigenous fruits such as Davidson's plums are effective in reducing these signs of metabolic syndrome in rats, as well as reducing degeneration of bone cartilage and altering gut microbiome."
flour,causes,respiratory symptoms,Flour mill workers are at high risk of developing respiratory symptoms due to exposure to flour dust in their working environment.
rice,treats,ad,Components of the germ layer and bran of Brown rice (BR) help maintain good health and prevent AD.
diacetyl-containing butter flavor,causes,bronchiolitis obliterans,Diacetyl-containing butter flavor was identified as the cause of an outbreak of bronchiolitis obliterans (BO) and other lung diseases in popcorn-plant workers.
cocoa plant,treats,insulin resistance,"Flavanoids in the cocoa plant may ameliorate insulin resistance by improving endothelial function, altering glucose metabolism, and reducing oxidative stress."
green tea from camellia sinensis,treats,memory deficits,"Green tea from Camellia sinensis plays a neuroprotective role in different neurodegenerative conditions, such as memory deficits in Alzheimer disease (AD)."
ascorbic acids,causes,toxicity,"Antioxidants such as phlorotannins, ascorbic acids, tocopherols, carotenoids from red algae showed toxicity on some cancer cells without side effects."
curcuma longa,treats,pain,"Turmeric (Curcuma longa) has traditionally been used to treat pain, fever, allergic and inflammatory diseases such as bronchitis, arthritis, and dermatitis."
healthy diets,treats,type 2 diabetes mellitus,It is hypothesized that decreased advanced glycation end products (AGEs) levels could affect type 2 diabetes mellitus (T2DM) remission in newly diagnosed patients through the consumption of two healthy diets.
citrus unshiu,treats,fatigue,"Citrus unshiu (Rutaceae) is an easy-peeling citrus fruit, which has been used as a traditional Korean medicine for improving skin elasticity, relieving fatigue and cough, and preventing bronchitis, flu, and various cancers."
fish oil,treats,cd,Fish oil rich in eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) reduces disease activity in patients with CD with raised laboratory markers of inflammation and in healthy subjects alters PBMC function.
milk,causes,atherosclerosis,Milk is often seen as a potential promotor of atherosclerosis and coronary heart disease because it is a source of cholesterol and saturated fatty acids.
tofu,treats,cognitive decline,"Cell culture studies suggest that phytoestrogens, abundant in soy products such as tempe and tofu, could protect against cognitive decline."
fruits,treats,cvds,Accumulating epidemiological studies have indicated that consuming fruits was inversely related to the risk of CVDs.
extra-virgin olive oil,treats,human diseases,"Oleocanthal (OLC) is a phenolic component of extra-virgin olive oil, recently supposed to be involved in the modulation of some human diseases, such as inflammation and Alzheimer."
soy foods,treats,cardiovascular disease,"Epidemiological investigations have shown that consumption of soybeans or soy foods reduces the risk of the development of cardiovascular disease, cancer and osteoporosis."
cheese,treats,sarcopenia,"The consumption of dairy products by older people may reduce the risk of frailty, especially with high consumption of low-fat milk and yogurt, and may also reduce the risk of sarcopenia by improving skeletal muscle mass through the addition of nutrient-rich dairy proteins (ricotta cheese) to the habitual diet."
nobiletin from citrus peels,treats,dementia,"Previously, we identified nobiletin from citrus peels as a natural compound possessing anti-dementia activity."
apium graveolens,treats,hypertension,"Apium graveolens L. is a traditional Chinese medicine prescribed as a treatment for hypertension, gout, and diabetes."
mediterranean diet,treats,stroke,The Mediterranean diet (MD) has been shown to lower stroke risk.
milk,causes,allergy,"Although soy is considered a major food allergen (along with milk, egg, peanut, fish, and wheat), the prevalence of soy allergy in the pediatric population is not well defined."
cheese,treats,cvd,"In subgroup analysis, cheese and yogurt consumptions were associated with decreased CVD risk (OR = 0.87, 95% CI = 0.80-0.94 for cheese and OR = 0."
garlic,treats,ailments,"Garlic (Allium sativum) is a popular spice, a remedy for a variety of ailments and is also known for its medicinal uses as an antibiotic, antithrombotic and antineoplastic agent."
wheat flour,causes,baker's asthma,Sensitization to wheat flour plays an important role in the development and diagnosis of baker's asthma.
cocoa,treats,diabetic,Epidemiological and animal studies suggest that cocoa might reduce the risk of diabetic complications.
